L_set_count,threshold_value,B_vector,percent_positive,percent_negative
32,1.4,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",59.38,40.62
30,0.8,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",56.67,43.33
29,1.3,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",34.48,65.52
29,1.5,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",13.79,86.21
29,1.3,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",51.72,48.28
28,0.9,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",32.14,67.86
27,1.2,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",59.26,40.74
27,1.4,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",48.15,51.85
27,1.4,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",70.37,29.63
26,1.5,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",42.31,57.69
26,0.8,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",53.85,46.15
26,1.3,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",46.15,53.85
25,0.5,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",60.00,40.00
22,1.4,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",59.09,40.91
22,1.4,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",13.64,86.36
21,1.3,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",47.62,52.38
20,1.4,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",40.00,60.00
20,0.8,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",45.00,55.00
20,1.3,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",55.00,45.00
19,1.3,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",52.63,47.37
19,1.0,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",42.11,57.89
19,1.4,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",21.05,78.95
19,1.2,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",52.63,47.37
19,1.0,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",36.84,63.16
